Statement,Link,Date, Source, Label
Says that “those who stormed the capitol yesterday were not Trump supporters. They have been confirmed to be Antifa.”,https://www.politifact.com/factchecks/2021/jan/08/ken-paxton/texas-attorney-general-falsely-states-antifa-storm/,nuary 8^ 2021,Ken Paxton,pants-fire
The woman killed during the Jan. 6 U.S. Capitol assault was shot by a Secret Service agent^ not Capitol Police.,https://www.politifact.com/factchecks/2021/jan/08/jonathan-brostoff/capitol-police-not-secret-service-shot-and-killed-/,nuary 7^ 2021,Jonathan Brostoff,false
The storming of the Capitol was staged.,https://www.politifact.com/factchecks/2021/jan/07/instagram-posts/no-storming-capitol-wasnt-false-flag/,nuary 7^ 2021,Instagram posts,false
Quotes show Democrats supported riots “when BLM was BURNING down cities and killing people in the streets!”,https://www.politifact.com/factchecks/2021/jan/07/facebook-posts/quotes-4-democrats-twisted-make-it-look-they-endor/,nuary 7^ 2021,Facebook posts,barely-true
“Evidence growing that fascist ANTIFA orchestrated Capitol attack with clever mob control tactics.”,https://www.politifact.com/factchecks/2021/jan/07/mo-brooks/mo-brooks-claim-antifa-orchestrated-capitol-riots-/,nuary 7^ 2021,Mo Brooks,pants-fire
Video shows police removing disabled protesters from the Capitol on Jan. 6^ 2021.,https://www.politifact.com/factchecks/2021/jan/07/viral-image/protest-footage-2017-confuses-some-social-media-us/,nuary 7^ 2021,Viral image,false
Voting machines didn’t work in heavily GOP areas for the Georgia runoff elections^ leaving some voters unable to cast ballots.,https://www.politifact.com/factchecks/2021/jan/07/facebook-posts/no-sign-widespread-voting-machine-problems-gop-are/,nuary 7^ 2021,Facebook posts,barely-true
A facial recognition firm “confirmed antifa infiltrated the Trump rally in D.C.”,https://www.politifact.com/factchecks/2021/jan/07/facebook-posts/no-facial-recognition-didnt-confirm-antifa-infiltr/,nuary 7^ 2021,Facebook posts,false
A man who stormed the U.S. Capitol in a horned fur cap is an “Antifa thug.”,https://www.politifact.com/factchecks/2021/jan/07/facebook-posts/face-painted-man-horned-fur-cap-capitol-riot-suppo/,nuary 7^ 2021,Facebook posts,pants-fire
“Georgia and Kansas Capitol buildings have been stormed by protesters.”,https://www.politifact.com/factchecks/2021/jan/07/facebook-posts/no-protesters-didnt-storm-georgia-and-kansas-capit/,nuary 6^ 2021,Facebook posts,false
"We won. We won in a landslide. This was a landslide.”,https://www.politifact.com/factchecks/2021/jan/07/donald-trump/trump-clings-fantasy-landslide-victory-egging-supp/,nuary 6^ 2021,Donald Trump,pants-fire
"Antifa" is to blame for storming the U.S. Capitol.,https://www.politifact.com/factchecks/2021/jan/07/shannon-grove/high-ranking-california-republican-lawmaker-pushes/,nuary 6^ 2021,Shannon Grove,pants-fire
Google and Apple maps won’t give directions to Washington^ D.C. because “they don’t want you going to a certain big rally.”,https://www.politifact.com/factchecks/2021/jan/06/facebook-posts/looking-claims-google-and-apple-maps-are-blocking-/,nuary 6^ 2021,Facebook posts,barely-true
“39% of Americans … 31% of independents ... 17% of Democrats believe the election was rigged.",https://www.politifact.com/factchecks/2021/jan/06/ted-cruz/ted-cruzs-misleading-statement-people-who-believe-/,nuary 6^ 2021,Ted Cruz,barely-true
“Judge Rules Over 200^000 Biden Votes Are Illegitimate In Wisconsin.”,https://www.politifact.com/factchecks/2021/jan/06/facebook-posts/no-court-did-not-rule-200000-wisconsin-ballots-wer/,nuary 6^ 2021,Facebook posts,false
Photo shows “2 sitting senators counting ballots” in Georgia.,https://www.politifact.com/factchecks/2021/jan/06/viral-image/photo-shows-poll-workers-counting-ballots-pennsylv/,nuary 6^ 2021,Viral image,false
Says shredded ballots were found in Dell boxes in Georgia,https://www.politifact.com/factchecks/2021/jan/06/facebook-posts/no-there-were-no-shredded-ballots-found-during-geo/,nuary 6^ 2021,Facebook posts,pants-fire
